"position_id","position_name","position_preference","description"
"GMM","grand merchant-master","1","This is the symbolic head of the republic, an honorary title given to the leader of the merchants' guild. They have no real power within the guild or the civilization, but are often called upon for advice and guidance. They expect almost royal treatment, as befits their status as the figurehead of the republic."
"MM_COUNC","merchant master councillor","20","The merchant master councillor is one of two guildmasters who act as the chief decision-makers of both the republic and the merchants' guild. They oversee guild operations, decide on trade policy and warfare. While running their own businesses as merchants, they mandate trade operations. Due to their aristocratic status, they demand lavish living quarters."
"MM_MAG","merchant master magistrate","21","The merchant master magistrate holds the highest office of justice in the republic, charged with upholding the law and ensuring the safety and protection of the people. While running their own businesses as merchants, they mandate trade operations. Due to their aristocratic status, they demand lavish living quarters."
"MM_AMBAS","merchant master ambassador","22","The merchant master ambassador holds the highest diplomatic office within the merchants' guild and is responsible for receiving and hosting diplomatic guests. While running their own businesses as merchants, they mandate trade operations. Due to their aristocratic status, they demand lavish living quarters."
"MM_STEW","merchant master steward","23","The merchant master steward holds the highest administrative office of the republic, entrusted with the careful management of its resources. They oversee tax collection, secure the food supply, direct construction, and manage the guilds' housekeeping. While running their own businesses as merchants, they mandate trade operations. Due to their aristocratic status, they demand lavish living quarters."
"M_AP","merchant apprentice","105","The merchant guild apprentice serves the guild by delivering messages and attending to the needs of its masters. Through diligent service and reliability, they support the daily workings of the guild while striving to prove their worth and rise through its ranks."
"CAPTAIN_GENERAL","captain-general","24","The Captain-general is the highest-ranking officer of the republican military, commanding their subordinate captains. Due to their high status, they demand lavish living quarters."
"CAPTAIN","captain","120","The captain is an officer in the republican military, responsible for leading a squad of 8 soldiers and are entrusted with escorting tax collectors and patrolling the borders. Due to their position, they require comfortable living quarters befitting their status."
"FREE_MERCHANT_90","free merchant","100","Free merchants are the 'pillars of society'. The republic rests on the principles of freedom and commerce. Approximately 2% of the population belongs to this group."
"FREE_MERCHANT_190","free merchant","100","Free merchants are the 'pillars of society'. The republic rests on the principles of freedom and commerce. Approximately 2% of the population belongs to this group."
"CLERK_OF_STORES_SINGLE","clerk of stores","160","The clerk of stores is responsible for the procurement, storage, and distribution of goods, ensuring that the guild's operations run smoothly and efficiently. As all clerks, they require a well-organized workspace and comfortable living quarters to manage their duties effectively. (Broker)"
"CLERK_OF_STORES_ASNEEDED","clerk of stores","161","The clerk of stores is responsible for the procurement, storage, and distribution of goods, ensuring that the guild's operations run smoothly and efficiently. As all clerks, they require a well-organized workspace and comfortable living quarters to manage their duties effectively. (Broker)"
"CLERK_OF_WORKS_SINGLE","clerk of works","162","The clerk of works is responsible for overseeing the production of crafts, trade goods, and essential commodities, ensuring that all work is completed to high standards and on schedule. As all clerks, they require a well-organized workspace and comfortable living quarters to manage their duties effectively. (Manager)"
"CLERK_OF_WORKS_ASNEEDED","clerk of works","163","The clerk of works is responsible for overseeing the production of crafts, trade goods, and essential commodities, ensuring that all work is completed to high standards and on schedule. As all clerks, they require a well-organized workspace and comfortable living quarters to manage their duties effectively. (Manager)"
"CLERK_OF_ACCOUNTS_SINGLE","clerk of accounts","164","The clerk of accounts is responsible for managing financial records, overseeing budgets, and ensuring accurate accounting practices. As all clerks, they require a well-organized workspace and comfortable living quarters to manage their duties effectively. (Bookkeeper)"
"CLERK_OF_ACCOUNTS_ASNEEDED","clerk of accounts","165","The clerk of accounts is responsible for managing financial records, overseeing budgets, and ensuring accurate accounting practices. As all clerks, they require a well-organized workspace and comfortable living quarters to manage their duties effectively. (Bookkeeper)"
"CLERK_OF_LETTERS_SINGLE","clerk of letters","166","The clerk of letters is responsible for delivering messages between sites, maintaining correspondence, and ensuring timely communication across the republic. As all clerks, they require a well-organized workspace and comfortable living quarters to manage their duties effectively. (Messenger)"
"CLERK_OF_LETTERS_ASNEEDED","clerk of letters","167","The clerk of letters is responsible for delivering messages between sites, maintaining correspondence, and ensuring timely communication across the republic. As all clerks, they require a well-organized workspace and comfortable living quarters to manage their duties effectively. (Messenger)"
"LH1","trade agent","89","The trade agent is an administrator assigned to the fortress by the Merchants' Guild. Their appointment designates the site as a chartered trade post. They appoint clerks to assist them with their tasks. They are empowered to issue trade mandates, defining which goods may be produced or exchanged. A modest office is required."
"LH2","trade administrator","40","The trade administrator is an official appointed by the Merchants' Guild. Their presence elevates the fortress to a chartered market town. They appoint clerks to assist them with their tasks. They are empowered to issue expanded trade and production mandates. Office improvements are required."
"LH3","trade director","41","The trade director is a senior official appointed by the Merchants' Guild. Their presence elevates the fortress to a chartered merchant city. They appoint clerks to assist them with their tasks. They are empowered to issue expanded trade and production mandates. A modest office is required."
"LH4","chief commissioner","42","The chief commissioner is a principal official appointed by the Merchants' Guild. Their presence elevates the fortress to a principal mercantile city. They appoint clerks to assist with administrative tasks and, when required, can dispatch military forces to protect the republic's interests. Their mandates broadly determine permitted production and commerce. Decent living quarters are required."
"LH5","grand commissioner","43","The grand commissioner is the highest official appointed by the Merchants' Guild. Their presence elevates the site to the supreme 'citadel of commerce'. They appoint clerks to assist them with their tasks. They hold the authority to issue supreme mandates governing commerce, production, and sanctioned military expeditions. Decent living quarters are required. (1/6)"
"M_JM_ECTA","merchant journeyman","70","The merchant guilds journeyman serves as a trusted representative of the guild in diplomatic affairs and is responsible for overseeing the trade routes between settlements. While conducting business as a merchant, they mandate the flow of goods and communication across the republic. Their position entails clear but modest and practical living requirements."
"M_JM_TRADE","merchant journeyman","70","The merchant guilds journeyman serves as a trusted representative of the guild in diplomatic affairs and is responsible for overseeing the trade routes between settlements. While conducting business as a merchant, they mandate the flow of goods and communication across the republic. Their position entails clear but modest and practical living requirements."
"BURGER_7","grand burgher","60","At the grand summit of the republic's burgher society, they form the proud crest of the metropolis. Their names travel along trade-roads, spoken with respect in distant markets. Their halls are the finest a free people grant, symbols of renown gained not by duty, but by the standing the republic bestows."
"CITIZEN_7","grand citizen","80","Grand in mandate, they stand at the summit of what a free city can bestow. Their names carry beyond mountain roads and river borders, spoken with regard in distant halls. Their quarters - finest a free people can grant - reflect the renown of those who shape not only the city, but its place in the world."
"CITIZEN_6","honored citizen","81","Honored among their peers, they tighten the weave of civic function. At their behest a clerk of stores is appointed, ensuring that supplies and lifeblood flow with order rather than chance. Their dwellings, too, grow richer in finish and provision, echoing the authority they quietly accumulate."
"BURGER_6","honored burgher","61","Highly honored within the walls, they stand among the most secure beneficiaries of the city's newly recognized freedom. Though their responsibilities scarcely exceed those of any other citizen, their name commands courtesy, and their dwellings - rich in craft and quiet indulgence - signal a status that needs no proclamation."
"CITIZEN_5","esteemed citizen","82","Esteemed and firmly rooted in duty, their households rise with them. Even their spouses are released from the humble labors of the common day, and their quarters expand in comfort and refinement - an acknowledgment that their stature now stands far beyond the tools of survival."
"BURGER_5","esteemed burgher","62","Here they reach the upper ease of republican life, their role largely ceremonial, their obligations light as hammered silver. Their households mirror this privilege, adorned with luxuries that once belonged only to governors and clerks. They carry themselves as esteemed figures who know the charter did more than enriching the city - it elevated them."
"CITIZEN_4","distinguished citizen","83","Distinguished by responsibility, they extend their concern to the safety of all. Under their authority, a civic guard is named - steel drawn not for conquest, but for the well-being of the city that depends on them."
"BURGER_4","distinguished burgher","63","Marked by steady rise rather than burden, they move through the republic with the quiet assurance of those who no longer answer to the harsher demands of governance. Their comforts deepen - well-lit halls, ample storage, and furnishings chosen for pleasure rather than necessity - small honors they now accept as ordinary."
"CITIZEN_3","notable citizen","84","Notable in standing, their hands turn from toil to governance. Freed from menial burdens, they begin to entrust tasks to clerks so that their attention may rest wholly on guiding the young settlement's path."
